=== Grokking-Collapse Experiment ===
Node: udc-an37-1
GPU: NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
Start: Wed Apr  8 14:56:59 EDT 2026

============================================================
Running condition: pure
============================================================
Training on cuda
Condition: pure, collapse_level=0.0
Model parameters: 213,947
Step  5600 | train_loss=0.0170 test_loss=0.0206 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=52.09 rank=25.5 fourier=0.335 | time=31.0s
Step  5700 | train_loss=0.0218 test_loss=0.0248 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=47.53 rank=23.1 fourier=0.352 | time=31.6s
Step  5800 | train_loss=0.0282 test_loss=0.0314 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=46.15 rank=21.3 fourier=0.361 | time=32.1s
Step  5900 | train_loss=0.0330 test_loss=0.0379 | train_acc=1.0000 test_acc=0.9996 | ‖W‖=50.96 rank=22.9 fourier=0.351 | time=32.6s
Step  6000 | train_loss=0.0266 test_loss=0.0299 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=47.39 rank=21.5 fourier=0.364 | time=33.2s
Step  6100 | train_loss=0.0351 test_loss=0.0426 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=50.94 rank=23.4 fourier=0.347 | time=33.8s
Step  6200 | train_loss=0.0233 test_loss=0.0263 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=47.29 rank=21.4 fourier=0.366 | time=34.3s
Step  6300 | train_loss=0.0349 test_loss=0.0403 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=48.48 rank=22.1 fourier=0.358 | time=34.8s
Step  6400 | train_loss=0.0249 test_loss=0.0284 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=49.04 rank=22.3 fourier=0.359 | time=35.3s
Step  6500 | train_loss=0.1632 test_loss=0.2115 | train_acc=0.9952 test_acc=0.9930 | ‖W‖=55.67 rank=27.3 fourier=0.292 | time=35.9s
Step  6600 | train_loss=0.0157 test_loss=0.0193 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=53.37 rank=27.5 fourier=0.328 | time=36.4s
Step  6700 | train_loss=0.0211 test_loss=0.0251 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=50.23 rank=26.5 fourier=0.340 | time=36.9s
Step  6800 | train_loss=0.0251 test_loss=0.0282 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=47.44 rank=23.5 fourier=0.360 | time=37.5s
Step  6900 | train_loss=0.0298 test_loss=0.0332 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=45.63 rank=20.9 fourier=0.373 | time=38.1s
Step  7000 | train_loss=0.0319 test_loss=0.0351 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=46.02 rank=20.9 fourier=0.374 | time=38.6s
Step  7100 | train_loss=0.5161 test_loss=0.5997 | train_acc=0.9598 test_acc=0.9339 | ‖W‖=55.61 rank=27.4 fourier=0.281 | time=39.1s
Step  7200 | train_loss=0.0245 test_loss=0.0303 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=52.45 rank=28.1 fourier=0.323 | time=39.7s
Step  7300 | train_loss=0.0273 test_loss=0.0320 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=48.22 rank=27.0 fourier=0.337 | time=40.3s
Step  7400 | train_loss=0.0300 test_loss=0.0335 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=44.88 rank=23.5 fourier=0.361 | time=40.8s
Step  7500 | train_loss=0.0344 test_loss=0.0377 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.56 rank=20.6 fourier=0.375 | time=41.3s
Step  7600 | train_loss=0.0434 test_loss=0.0479 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.17 rank=20.9 fourier=0.376 | time=41.8s
Step  7700 | train_loss=0.0315 test_loss=0.0352 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.43 rank=20.9 fourier=0.376 | time=42.4s
Step  7800 | train_loss=0.0659 test_loss=0.0757 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.79 rank=21.7 fourier=0.370 | time=42.9s
Step  7900 | train_loss=0.0261 test_loss=0.0293 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.63 rank=20.9 fourier=0.374 | time=43.5s
Step  8000 | train_loss=0.0573 test_loss=0.0647 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.97 rank=22.0 fourier=0.362 | time=44.0s
Step  8100 | train_loss=0.0246 test_loss=0.0277 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.10 rank=20.8 fourier=0.374 | time=44.6s
Step  8200 | train_loss=0.0793 test_loss=0.0913 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=43.43 rank=22.7 fourier=0.351 | time=45.1s
Step  8300 | train_loss=0.0224 test_loss=0.0249 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.01 rank=20.7 fourier=0.371 | time=45.7s
Step  8400 | train_loss=0.0921 test_loss=0.1087 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=43.15 rank=22.9 fourier=0.343 | time=46.2s
Step  8500 | train_loss=0.0194 test_loss=0.0216 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.03 rank=20.7 fourier=0.366 | time=46.8s
Step  8600 | train_loss=0.0295 test_loss=0.0327 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=40.44 rank=20.8 fourier=0.369 | time=47.3s
Step  8700 | train_loss=0.0288 test_loss=0.0329 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=41.43 rank=21.7 fourier=0.359 | time=47.8s
Step  8800 | train_loss=0.0243 test_loss=0.0272 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=40.30 rank=21.0 fourier=0.367 | time=48.3s
Step  8900 | train_loss=0.3172 test_loss=0.4208 | train_acc=0.9943 test_acc=0.9754 | ‖W‖=50.35 rank=29.0 fourier=0.289 | time=48.9s
Step  9000 | train_loss=0.0293 test_loss=0.0373 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=46.79 rank=29.8 fourier=0.304 | time=49.5s
Step  9100 | train_loss=0.0286 test_loss=0.0336 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=44.32 rank=29.7 fourier=0.310 | time=50.0s
Step  9200 | train_loss=0.0318 test_loss=0.0352 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.10 rank=27.6 fourier=0.325 | time=50.5s
Step  9300 | train_loss=0.0343 test_loss=0.0372 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=40.12 rank=23.7 fourier=0.349 | time=51.1s
Step  9400 | train_loss=0.0400 test_loss=0.0434 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=38.60 rank=20.7 fourier=0.363 | time=51.7s
Step  9500 | train_loss=0.0365 test_loss=0.0396 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=38.11 rank=20.5 fourier=0.368 | time=52.2s
Step  9600 | train_loss=0.0339 test_loss=0.0377 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=39.24 rank=21.7 fourier=0.361 | time=52.7s
Step  9700 | train_loss=0.0346 test_loss=0.0374 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=37.74 rank=21.0 fourier=0.368 | time=53.3s
Step  9800 | train_loss=0.0538 test_loss=0.0606 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=38.83 rank=22.2 fourier=0.355 | time=53.8s
Step  9900 | train_loss=0.0291 test_loss=0.0318 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=37.89 rank=21.0 fourier=0.368 | time=54.3s
