wd,noise,seed,grokked,grokking_step,final_train_acc,final_test_acc,final_fourier_concentration,final_embedding_rank,final_weight_norm
3.0,0.15,43,False,,0.08333333333333333,0.06934755847353304,0.5460665822029114,6.249237537384033,14.620187798710882
3.0,0.15,44,False,,0.16666666666666666,0.11161263848994665,0.6066146492958069,6.555115222930908,16.55172215416316
3.0,0.15,45,False,,0.20306513409961685,0.07386130488305294,0.32566070556640625,19.614503860473633,21.659174575801444
3.0,0.15,46,False,,0.1925287356321839,0.14608124743537135,0.5050593018531799,14.28140640258789,19.941130149239747
3.0,0.2,42,False,,0.09865900383141762,0.06196142798522774,0.3212379813194275,10.951395988464355,13.597873971532323
3.0,0.2,43,False,,0.1360153256704981,0.06647517439474764,0.3297671973705292,13.494832992553711,14.264448786159955
3.0,0.2,44,False,,0.11015325670498084,0.0689372178908494,0.36633890867233276,14.631972312927246,13.526702260045823
3.0,0.2,45,False,,0.15613026819923373,0.104636848584325,0.3423473834991455,13.163785934448242,14.903572925775851
3.0,0.2,46,False,,0.13026819923371646,0.08411981945014362,0.37952977418899536,12.569087982177734,17.78063977280279
3.0,0.3,42,False,,0.1331417624521073,0.046368485843249894,0.3280599117279053,16.114612579345703,18.720420861108003
3.0,0.3,43,False,,0.09099616858237548,0.041444398851046366,0.3694288730621338,10.662748336791992,14.965418728619046
3.0,0.3,44,False,,0.11206896551724138,0.049651210504718914,0.3528585731983185,13.976472854614258,19.19076070821308
3.0,0.3,45,False,,0.09578544061302682,0.06401313089864588,0.3647547960281372,13.037969589233398,17.770741394972934
3.0,0.3,46,False,,0.09482758620689655,0.06196142798522774,0.3827897310256958,12.050902366638184,12.88135928374346
