run_dir,condition,collapse_level,collapse_severity,final_test_acc,final_train_acc,final_weight_norm,grokking_step_detected,grokked_detected,seed
results/exp_c_grid/wd3/noise0.1/seed_45,seed_45,0.0,0.5,0.0553959786622897,0.11685823754789272,8.515374149220902,-1,False,45
results/exp_c_grid/wd3/noise0.3/seed_42,seed_42,0.0,0.5,0.046368485843249894,0.1331417624521073,18.720420861108003,-1,False,42
results/exp_c_grid/wd3/noise0.3/seed_43,seed_43,0.0,0.5,0.041444398851046366,0.09099616858237548,14.965418728619046,-1,False,43
results/exp_c_grid/wd3/noise0.3/seed_44,seed_44,0.0,0.5,0.049651210504718914,0.11206896551724138,19.19076070821308,-1,False,44
results/exp_c_grid/wd3/noise0.3/seed_46,seed_46,0.0,0.5,0.06196142798522774,0.09482758620689655,12.88135928374346,-1,False,46
results/exp_c_grid/wd3/noise0.3/seed_45,seed_45,0.0,0.5,0.06401313089864588,0.09578544061302682,17.770741394972934,-1,False,45
results/exp_c_grid/wd3/noise0.05/seed_42,seed_42,0.0,0.5,0.11489536315141567,0.17624521072796934,17.21242783866748,-1,False,42
results/exp_c_grid/wd3/noise0.05/seed_43,seed_43,0.0,0.5,0.12802626179729176,0.18199233716475097,27.854950815234137,-1,False,43
results/exp_c_grid/wd3/noise0.05/seed_44,seed_44,0.0,0.5,0.09684037751333607,0.1417624521072797,17.91558724313231,-1,False,44
results/exp_c_grid/wd3/noise0.05/seed_46,seed_46,0.0,0.5,0.1723430447271235,0.23754789272030652,19.17872512318798,-1,False,46
results/exp_c_grid/wd3/noise0.05/seed_45,seed_45,0.0,0.5,0.09273697168649979,0.11494252873563218,16.285441378078584,-1,False,45
results/grid/level0.3_sev0.6/seed_42,seed_42,0.3,0.6,0.36889618383258105,0.9770114942528736,55.02683761305293,-1,False,42
results/grid/level0.3_sev0.6/seed_43,seed_43,0.3,0.6,0.34222404595814526,0.9942528735632183,53.6492126360204,-1,False,43
results/grid/level0.3_sev0.6/seed_44,seed_44,0.3,0.6,0.31842429216249485,0.9923371647509579,61.23141646751125,-1,False,44
results/grid/level0.3_sev0.6/seed_46,seed_46,0.3,0.6,0.3225276979893311,0.9722222222222222,59.052775544234535,-1,False,46
results/grid/level0.3_sev0.6/seed_45,seed_45,0.3,0.6,0.3057037340993024,0.9760536398467433,57.811426291595,-1,False,45
results/grid/level0.15_sev0.3/seed_42,seed_42,0.15,0.3,0.8411981945014362,0.9990421455938697,44.80321818767141,-1,False,42
results/grid/level0.15_sev0.3/seed_43,seed_43,0.15,0.3,0.839146491588018,0.9990421455938697,49.46640418349225,-1,False,43
results/grid/level0.15_sev0.3/seed_44,seed_44,0.15,0.3,0.8559704554780467,1.0,38.126432343867535,-1,False,44
results/grid/level0.15_sev0.3/seed_46,seed_46,0.15,0.3,0.888797702092737,1.0,46.82278568410213,-1,False,46
results/grid/level0.15_sev0.3/seed_45,seed_45,0.15,0.3,0.7767747230201066,0.9741379310344828,44.69455509292408,-1,False,45
results/grid/level0.15_sev0.9/seed_42,seed_42,0.15,0.9,0.8871563397620025,0.9990421455938697,38.98149036054854,-1,False,42
results/grid/level0.15_sev0.9/seed_43,seed_43,0.15,0.9,0.8555601148953631,1.0,40.802702385445926,-1,False,43
results/grid/level0.15_sev0.9/seed_44,seed_44,0.15,0.9,0.854739433729996,1.0,42.327763946401014,-1,False,44
results/grid/level0.15_sev0.9/seed_46,seed_46,0.15,0.9,0.8686910135412392,1.0,42.99609517240279,-1,False,46
results/grid/level0.15_sev0.9/seed_45,seed_45,0.15,0.9,0.8801805498563808,0.9980842911877394,41.44569556418936,-1,False,45
results/grid/level0.3_sev0.9/seed_42,seed_42,0.3,0.9,0.4788674599917932,0.975095785440613,52.46082876656021,-1,False,42
results/grid/level0.3_sev0.9/seed_43,seed_43,0.3,0.9,0.317193270414444,0.9865900383141762,54.2720940187572,-1,False,43
results/grid/level0.3_sev0.9/seed_44,seed_44,0.3,0.9,0.3192449733278621,0.9434865900383141,56.99113293209277,-1,False,44
results/grid/level0.3_sev0.9/seed_46,seed_46,0.3,0.9,0.25359048009848173,0.9837164750957854,52.65114077662607,-1,False,46
results/grid/level0.3_sev0.9/seed_45,seed_45,0.3,0.9,0.3311448502256873,0.9865900383141762,53.65425456069717,-1,False,45
