condition,step,grokking_step,is_post_grokking,in_proj_eff_rank,in_proj_pr,out_proj_eff_rank,out_proj_pr,linear1_eff_rank,linear1_pr,linear2_eff_rank,linear2_pr
low_collapse,45000,3100,True,14.088576316833496,1.4725407361984253,37.967506408691406,15.485734939575195,54.77821350097656,21.80562400817871,39.57884979248047,15.725399017333984
low_collapse,50000,3100,True,14.058320999145508,1.4520334005355835,39.2423095703125,15.46960163116455,57.918575286865234,23.582792282104492,43.96805191040039,17.070362091064453
medium_collapse,5000,-1,False,11.209110260009766,1.0702972412109375,50.85577392578125,27.932405471801758,56.06726837158203,25.405675888061523,70.87002563476562,34.992671966552734
medium_collapse,10000,-1,False,11.631911277770996,1.1122792959213257,52.57476043701172,29.775901794433594,54.64609909057617,20.52692413330078,53.4569091796875,21.488414764404297
medium_collapse,15000,-1,False,12.01000690460205,1.170744776725769,52.38304138183594,30.640663146972656,63.79640579223633,28.525930404663086,52.060916900634766,19.576305389404297
medium_collapse,20000,-1,False,13.5778226852417,1.3211572170257568,51.28419876098633,27.727996826171875,64.65506744384766,29.993303298950195,51.4625244140625,19.647729873657227
medium_collapse,25000,-1,False,16.441192626953125,1.8043361902236938,51.5421142578125,24.837623596191406,65.06897735595703,30.03154754638672,55.170448303222656,20.96835708618164
medium_collapse,30000,-1,False,16.04060935974121,1.981040358543396,51.096805572509766,25.769317626953125,64.54051208496094,27.432392120361328,55.171634674072266,20.69689178466797
medium_collapse,35000,-1,False,15.198458671569824,1.7678301334381104,50.17302322387695,23.736103057861328,61.76791000366211,26.309223175048828,54.06442642211914,21.148029327392578
medium_collapse,40000,-1,False,15.21645736694336,1.6229009628295898,48.14714431762695,22.451744079589844,61.43302536010742,25.96673011779785,53.67830276489258,21.576208114624023
medium_collapse,45000,-1,False,15.00273323059082,1.5587456226348877,47.29958724975586,20.98651885986328,60.77034378051758,25.940380096435547,51.75187683105469,21.21971321105957
medium_collapse,50000,-1,False,15.057452201843262,1.5685458183288574,46.343421936035156,20.250091552734375,61.93732452392578,26.454242706298828,52.16368103027344,21.52206039428711
pure,5000,1400,True,7.559301376342773,1.029109001159668,31.866580963134766,15.77242660522461,34.95024490356445,12.618176460266113,35.16001892089844,13.242130279541016
pure,10000,1400,True,8.78527545928955,1.0359126329421997,34.8271369934082,15.549527168273926,35.863624572753906,12.409661293029785,25.990310668945312,12.756121635437012
pure,15000,1400,True,8.653288841247559,1.0341075658798218,34.94308090209961,14.160368919372559,41.924007415771484,13.37629508972168,27.293882369995117,13.427350044250488
pure,20000,1400,True,10.383605003356934,1.0526496171951294,36.447265625,15.089234352111816,33.15285110473633,12.89907455444336,23.722274780273438,13.004822731018066
